source,target,weight
ASIRUR,IREKUN,0.8999999761581421
ASOHUL,IDIWOH02,1.0
ASUBIB,WANNIL,0.8999999761581421
ASUBIB,UBIBUF,0.8999999761581421
ASUBIB,DUDKAQ,0.8999999761581421
ASUKEE,KIKRAA,1.0
ASUKEE,ZIBRAD,1.0
ASUKEE,LETVUB,1.0
ASUQIO,SOTMUK02,0.8999999761581421
ASUQIO,YUBFUX01,0.8999999761581421
ASUQIO,YUBFUX,0.8999999761581421
ASUQIO,SOTMUK,0.8999999761581421
ASUQIO04,CUNFOH01,1.0
ASUQIO04,PEWGEF,1.0
ASUQIO04,CUNFOH,1.0
ASUQIO04,JETQOP,1.0
ASUQOV,EKAQIR,1.0
ASUQOV,OBOHOE,0.8999999761581421
ATEJOA,TETYAV,0.8999999761581421
ATEJOA,JEJWOL,0.8999999761581421
ATEJOA,PIDMEV01,0.8999999761581421
ATEJOA,WAHKOI,0.8999999761581421
ATEYED,CUMKIG03,1.0
ATEYED,CUMKIG,1.0
ATEYED,VADWON,1.0
ATEYUV,IDINER,1.0
ATEZEG,ECINUC,1.0
ATEZEG,MIXZOK,0.8999999761581421
ATEZIK,QAMVEH,0.8999999761581421
ATEZIK,VOLQUJ,0.8999999761581421
ATEZIK,XISDIO,0.8999999761581421
ATIBOU01,ATIBOU02,1.0
ATIBOU01,ATICAH,1.0
ATIBOU01,JIXWUJ01,1.0
ATIBOU01,GOKKIA,1.0
ATIBOU02,YUKTUU06,1.0
ATIJUI,MEQKOL,1.0
ATIJUI,HOLQUW,0.8999999761581421
ATIJUI,SAHYOQ03,0.8999999761581421
ATIJUJ,CELNUE,1.0
ATIJUJ,PEGRAW,1.0
ATIKAP,LARYIO,1.0
ATIKAP,LARYIO01,1.0
ATOTIM,IDIWOH02,1.0
ATOTIM,IDIWOH03,1.0
ATOTIM,JUMCOL,1.0
ATOTIM,IXOFIL,1.0
AVAQAP,ZEDVOV,1.0
AVAQET,YIXFIW,1.0
AVAQIX01,SIVVAW,1.0
AVAQIX01,UMAQAC,1.0
AVAQIX01,KEJBOQ,1.0
AVAQIX01,NEBTAS,1.0
AVAXIF,QOTFAH,0.8999999761581421
AVELOD,NAVLIG,1.0
AVELOD,RULVUP,1.0
AVELOD,QAGTOH,1.0
AVELOD,XEDXOW,0.8999999761581421
AVESAW,LIHSEB,1.0
AVESAW,LIHSAX,1.0
AVESAW,AVESIE,1.0
AVESAW,TISLIR,1.0
